Babel  [2006];Alejandro Gonzalez Inarritu;2006
El cardenal  [1963];Otto Preminger;1963
CHASIG GHOSTS (LA CAZA);;
EL AURA;;
FELLINI, OCHO Y MEDIO;Federico Fellini;1963
Me siento rejuvenecer (1952);Howard Hawks;1952
El gran combate (Cheyenne Autumn) (1964);John Ford;1964
NARCISO NEGRO;Michael Powell, Emeric Pressburger;1947
Perdición;Billy Wilder;1944
BOOGIE NIGHTS;;
CORAZON SALVAJE;;
ROMPER-STOMPER;;
SMOKE;;1995
Perdición;Billy Wilder;1944
La vida privada de Sherlock Holmes  [1970];Billy Wilder;1970
FORAJIDOS;Robert Siodmak;
EL TRUCO FINAL.EL PRESTIGIO;;
FULL MONTY;;
LOS GRITOS DEL SILENCIO;;
TWIN PEAKS - EPISODIO PÌLOTO;David Lynch;
Los sobornados  [1953];Fritz Lang;1953
MARIA ANTONIETA;;
OLVIDATE DE MI;;
QUADROFENIA;;
THE QUEEN;;
EL ULTIMO SHOW;;
EN EL CURSO DEL TIEMPO;;
PRIMAVER, VERANO, OTOÑO, INVIERNO;;
SALVADOR PUIGANTICH;;
SEDUCIENDO A UN EXTRAÑO;;
AMIGO AMADO-AMIC AMAT;Ventura Pons;1999
Cadena perpetua;Frank Darabont;1994
EL JEFE DE TODO ESTO;;
MENTES EN BLANCO;;
V DE VENDETTA;;
LO QUE QUEDA DE DIA;;
THE MESSENGERS;;
TRANSTORNO;;
UNA HISTORIA CHINA DE FANTASMAS. 2y3;;
EL BUEN PASTOR;;2006
DIAMANTES DE SANGRE;;
DIAS DE GLORIA;;
EL CIELO SOBRE BERLIN;;
FRESAS SALVAJES;Ingmar Bergman;
DAME 10 RAZONES  V.O.S.;;
"EL HOMBRE MOSCA  ""HAROLD LLOYD""";;
PARIS TEXAS;;
SPIDERMAN 3;;
EL BUEN ALEMAN;Steven Soderbergh;2006
DIAMANTE DE SANGRE;;
EL TIGRE Y LA NIEVE;;
GET RICH OR DIE TRYIN;;
V DE VENDETA  (LA BUENA);;
VETE DE MI;Víctor García León;2006
Alice (1990) ;Woody Allen;1990
AzulOscuroCasiNegro;Daniel Sánchez Arévalo;2006
EL BOSQUE;;
HAPPINESS;;
LOS ABANDONADOS;;
CARRIE;Brian de Palma;
NOVECENTO;;
NUMERO 23;;
SHOOTER - EL TIRADOR;;
TU LA LETRA, YO LA MUSICA;;
Maridos y mujeres (1992);Woody Allen;1992
BOBBY;;
RECUERDOS (formato VLC);;
SANTIAGO SEGURA JISTORY;;
THE HOST (JAPAN);;
Cartas desde Iwo Jima  [2006];Clint Eastwood;2006
